"aX","aY","aZ","gX","gY","gZ"
0.979,-0.202,-0.011,-1.648,9.216,-57.373
0.962,-0.238,0.013,7.629,3.662,-50.476
0.965,-0.218,0.002,19.714,-0.427,-35.095
0.978,-0.124,-0.015,21.606,-5.798,-32.349
0.968,-0.107,0.001,19.592,-20.203,-34.363
0.933,-0.108,0.048,17.883,-23.132,-35.645
0.911,-0.131,0.050,17.090,-25.085,-36.865
0.880,-0.168,0.032,11.963,-28.015,-36.438
0.806,-0.214,-0.013,6.409,-25.635,-33.081
0.771,-0.225,-0.050,-4.883,-17.151,-19.165
0.756,-0.206,-0.103,-10.925,-15.930,-8.728
0.772,-0.166,-0.079,-16.541,-28.137,8.545
0.859,-0.076,0.026,-12.756,-40.649,12.512
0.917,-0.038,0.088,-4.272,-62.256,10.864
1.033,0.046,0.260,-1.099,-71.045,6.653
1.085,0.068,0.364,2.502,-79.651,0.854
1.120,0.062,0.453,4.333,-81.238,-13.550
1.171,0.021,0.546,-1.038,-67.688,-19.836
1.201,0.005,0.560,-20.081,-26.672,-32.715
1.227,-0.064,0.501,-28.564,-6.165,-40.466
1.220,-0.108,0.441,-35.400,25.391,-51.392
1.187,-0.182,0.316,-31.250,31.128,-54.016
1.167,-0.213,0.256,-24.841,30.151,-55.176
1.147,-0.247,0.207,-22.400,27.222,-58.472
1.081,-0.313,0.169,-25.818,30.701,-59.692
1.050,-0.330,0.165,-25.330,43.030,-54.749
1.026,-0.326,0.134,-20.935,48.767,-50.354
1.017,-0.313,0.103,-11.353,56.335,-46.326
0.955,-0.330,-0.027,-10.803,57.617,-44.006
0.950,-0.341,-0.069,-17.822,56.824,-37.781
0.958,-0.333,-0.052,-35.950,47.424,-29.419

1.550,-0.176,-1.644,-199.768,242.554,200.989
1.664,-0.255,-1.684,-243.286,191.956,138.855
1.559,-0.491,-1.483,-247.925,141.235,98.511
1.348,-0.637,-1.302,-252.686,69.214,54.199
0.970,-0.864,-0.878,-250.000,59.387,63.843
0.849,-0.908,-0.671,-236.755,56.641,92.102
0.725,-0.891,-0.499,-175.903,64.148,187.622
0.468,-0.640,-0.310,-134.399,74.707,245.117
0.333,-0.434,-0.284,-58.289,87.891,342.895
0.011,0.094,-0.266,-40.344,87.463,374.023
-0.145,0.499,-0.252,-45.410,89.355,386.230
-0.687,1.306,-0.095,-114.685,112.061,329.651
-0.986,1.561,0.036,-128.418,107.178,288.879
-1.160,1.729,0.108,-69.946,52.673,249.573
-1.275,1.910,-0.126,-41.199,44.739,249.817
-1.148,1.911,-0.392,-33.447,60.730,281.616
-0.438,1.858,-0.620,-49.683,66.589,293.396
-0.100,1.878,-0.508,-68.604,65.613,277.649
0.271,1.882,-0.385,-64.148,72.327,255.859
0.475,1.626,-0.479,-59.204,83.618,225.281
0.591,1.221,-0.578,-64.941,59.814,110.535
0.057,0.631,-0.693,-70.190,31.128,46.448
-0.300,0.463,-0.808,-57.312,4.578,-2.869
-0.347,0.237,-0.888,-49.438,-1.282,5.920
-0.251,0.231,-0.770,-47.058,-7.385,14.893
-0.209,0.297,-0.616,-44.373,-8.179,28.076
-0.142,0.518,-0.488,-41.565,5.066,39.185
-0.101,0.621,-0.550,-21.790,25.208,45.593
-0.072,0.694,-0.722,-4.333,16.174,33.142
-0.086,0.665,-0.772,20.752,-10.437,-0.916
-0.169,0.497,-0.902,17.456,-13.977,-8.362
-0.176,0.455,-0.915,-18.005,3.357,5.737
