"aX","aY","aZ","gX","gY","gZ"
0.239,-0.478,-0.846,0.244,2.991,3.052
0.240,-0.478,-0.832,0.427,1.404,1.831
0.244,-0.483,-0.820,-0.366,-0.610,-0.488
0.255,-0.500,-0.818,-0.610,-0.854,-0.916
0.259,-0.507,-0.825,0.366,0.061,-0.488
0.266,-0.511,-0.836,1.099,0.488,-0.305
0.268,-0.512,-0.835,0.732,-0.427,-0.183

0.398,-0.792,-1.408,75.500,-25.024,37.720
0.375,-0.807,-1.494,107.178,-51.758,60.730
0.387,-0.792,-1.661,130.005,-60.608,66.956
0.405,-0.768,-1.711,186.218,-74.768,79.285
0.398,-0.682,-1.726,215.454,-78.735,84.839
0.379,-0.633,-1.690,245.300,-78.003,87.708
0.364,-0.589,-1.654,296.204,-66.833,83.435
0.327,-0.524,-1.613,310.303,-63.232,80.444
0.299,-0.489,-1.594,323.853,-70.923,73.669
0.219,-0.397,-1.574,328.369,-78.857,70.740
0.173,-0.352,-1.561,347.534,-95.642,59.509
0.106,-0.284,-1.530,358.643,-103.027,46.021
0.075,-0.260,-1.512,366.821,-110.046,28.442
0.041,-0.244,-1.486,373.047,-130.127,-11.108
-0.082,-0.257,-1.351,376.648,-146.729,-30.884
-0.147,-0.278,-1.205,385.620,-197.571,-67.932
-0.228,-0.324,-0.770,381.775,-226.807,-83.801
-0.232,-0.332,-0.540,360.290,-279.480,-106.506
-0.103,-0.254,-0.147,353.332,-293.152,-113.464
-0.027,-0.209,-0.016,338.135,-274.231,-120.178
0.131,-0.107,0.158,331.238,-253.418,-120.178
0.212,-0.068,0.190,326.599,-233.643,-120.117
0.278,-0.049,0.210,299.622,-209.900,-117.371
0.364,-0.045,0.246,278.625,-206.787,-113.892
0.389,-0.061,0.248,250.366,-206.482,-107.056
0.399,-0.093,0.260,245.422,-205.994,-104.309
0.400,-0.102,0.273,240.479,-201.599,-102.966
0.379,-0.128,0.310,236.328,-197.693,-101.929
0.361,-0.149,0.338,233.032,-193.726,-100.464
0.343,-0.171,0.370,230.530,-195.557,-97.351
0.336,-0.184,0.452,226.379,-198.059,-96.741
0.330,-0.188,0.512,200.134,-204.102,-96.436
0.305,-0.248,0.641,184.326,-206.360,-95.459
0.297,-0.296,0.707,161.133,-207.458,-86.304
0.392,-0.381,0.880,159.912,-206.421,-77.820
0.442,-0.380,0.926,163.208,-203.247,-68.359
0.430,-0.375,0.923,166.443,-177.246,-48.767
0.293,-0.444,0.891,166.748,-161.377,-38.574
0.203,-0.480,0.889,166.870,-146.301,-20.569
0.044,-0.535,0.944,164.124,-145.020,-17.578
-0.003,-0.559,1.006,150.940,-145.142,-25.024
-0.057,-0.605,1.173,144.775,-142.273,-32.349
-0.064,-0.635,1.262,142.456,-137.207,-40.771
-0.010,-0.587,1.401,140.625,-123.474,-54.687
-0.004,-0.540,1.460,134.766,-114.075,-54.321
-0.053,-0.544,1.501,107.849,-85.632,-48.279
-0.253,-0.665,1.471,80.933,-80.872,-51.514
-0.295,-0.726,1.393,20.386,-84.656,-55.664
-0.053,-0.773,1.222,2.014,-77.026,-52.673
0.134,-0.761,1.204,-23.865,-51.392,-55.176
0.386,-0.645,1.161,-30.273,-38.879,-55.420
